Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
AF Milne,2021-2025,New Zealand,112.8,Fast,Birmingham Phoenix,477.0,22,11.35,0.0,226.0,'5/11,24.02,2.0,51.0,0.0,-12.66
BAC Howell,2021-2025,Melbourne Renegades,137.3,Medium,Birmingham Phoenix,3070.0,62*,22.74,0.0,231.0,'5/18,23.0,1.0,96.0,0.0,-0.26
BM Duckett,2021-2022,England,140.6,Offbreak,Birmingham Phoenix,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
CB Cooke,2021-2021,Birmingham Phoenix (Men),138.4,,Birmingham Phoenix,2797.0,113*,23.5,1.0,0.0,0,0.0,0.0,98.0,17.0,0.0
CG Benjamin,2021-2023,Sharjah Warriors,136.7,Medium,Birmingham Phoenix,962.0,68*,20.46,0.0,0.0,0,0.0,0.0,32.0,1.0,0.0
CP Wood,2021-2023,Hampshire,112.9,Medium,Birmingham Phoenix,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
DG Bedingham,2021-2021,Cape Town Blitz,133.2,,Birmingham Phoenix,1624.0,78,21.36,0.0,0.0,0,0.0,0.0,18.0,1.0,0.0
DJ Bell-Drummond,2021-2021,Rajshahi Kings,137.4,Medium,Birmingham Phoenix,4722.0,112*,30.86,2.0,5.0,'2/19,38.2,0.0,53.0,0.0,-7.33
DY Pennington,2021-2021,Birmingham Phoenix (Men),80.0,Medium,Birmingham Phoenix,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
FH Allen,2021-2021,New Zealand,173.1,,Birmingham Phoenix,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
Imran Tahir,2021-2022,South Africa,101.3,Legbreak,Birmingham Phoenix,377.0,23,8.56,0.0,533.0,'5/23,19.95,4.0,104.0,0.0,-11.38
LS Livingstone,2021-2025,England,144.4,Legbreak,Birmingham Phoenix,6859.0,103,27.54,2.0,130.0,'4/17,26.45,0.0,122.0,0.0,1.09
MAH Hammond,2021-2022,Birmingham Phoenix (Men),133.7,Offbreak,Birmingham Phoenix,2193.0,80,22.37,0.0,0.0,0,0.0,0.0,58.0,0.0,0.0
MM Ali,2021-2024,England,139.7,Offbreak,Birmingham Phoenix,7140.0,121*,24.12,3.0,249.0,'5/34,24.73,1.0,117.0,0.0,-0.61
PR Brown,2021-2021,England,69.8,Medium,Birmingham Phoenix,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
TB Abell,2021-2021,Brisbane Heat,133.5,Medium,Birmingham Phoenix,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
TG Helm,2021-2024,Gulf Giants,100.7,Medium,Birmingham Phoenix,275.0,28*,11.95,0.0,109.0,'5/11,27.0,1.0,22.0,0.0,-15.04
WCF Smeed,2021-2025,St Kitts and Nevis Patriots,148.7,Offbreak,Birmingham Phoenix,2626.0,101*,26.26,1.0,0.0,0,0.0,0.0,48.0,0.0,0.0
BJ Dwarshuis,2022-2022,Australia,143.3,Medium,Birmingham Phoenix,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
BL D'Oliveira,2022-2022,Birmingham Phoenix (Men),128.4,Legbreak,Birmingham Phoenix,2375.0,71,23.98,0.0,83.0,'4/11,29.77,0.0,43.0,0.0,-5.78
DJ Bell-Drummond,2022-2024,Rajshahi Kings,137.4,Medium,Birmingham Phoenix,4722.0,112*,30.86,2.0,5.0,'2/19,38.2,0.0,53.0,0.0,-7.33
DR Mousley,2022-2025,England,130.5,Offbreak,Birmingham Phoenix,1185.0,68,20.78,0.0,57.0,'4/28,19.87,0.0,44.0,0.0,0.91
HJH Brookes,2022-2022,Birmingham Phoenix (Men),124.4,Medium,Birmingham Phoenix,195.0,31*,11.47,0.0,63.0,'5/25,27.09,1.0,14.0,0.0,-15.62
JG Bethell,2022-2022,England,140.7,Orthodox,Birmingham Phoenix,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
JK Fuller,2022-2023,Fortune Barishal,140.2,Fast,Birmingham Phoenix,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
KW Richardson,2022-2023,Australia,111.9,Medium,Birmingham Phoenix,404.0,45,11.22,0.0,240.0,'4/22,23.45,0.0,77.0,0.0,-12.22
MS Wade,2022-2022,Australia,137.4,,Birmingham Phoenix,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
PR Brown,2022-2022,England,69.8,Medium,Birmingham Phoenix,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
SA Abbott,2022-2022,Australia,118.9,Medium,Birmingham Phoenix,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
SG Budinger,2022-2022,Birmingham Phoenix (Men),148.5,,Birmingham Phoenix,303.0,50,13.17,0.0,2.0,'2/21,10.5,0.0,7.0,0.0,2.67
T Sangha,2022-2023,Australia,88.4,Legbreak,Birmingham Phoenix,36.0,17*,9.0,0.0,68.0,'4/14,20.01,0.0,14.0,0.0,-11.01
BM Duckett,2023-2025,England,140.6,Offbreak,Birmingham Phoenix,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
CR Woakes,2023-2023,England,125.9,Medium,Birmingham Phoenix,1031.0,57*,20.21,0.0,177.0,'4/21,25.24,0.0,64.0,0.0,-5.02
FH Allen,2023-2023,New Zealand,173.1,,Birmingham Phoenix,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
JG Bethell,2023-2025,England,140.7,Orthodox,Birmingham Phoenix,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
JL Smith,2023-2024,England,144.4,,Birmingham Phoenix,1382.0,87,23.42,0.0,0.0,0,0.0,0.0,48.0,10.0,0.0
MS Wade,2023-2023,Australia,137.4,,Birmingham Phoenix,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
Shadab Khan,2023-2023,Pakistan,136.5,Legbreak,Birmingham Phoenix,3263.0,91,18.33,0.0,336.0,'5/28,24.01,1.0,115.0,0.0,-5.68
TB Abell,2023-2025,Brisbane Heat,133.5,Medium,Birmingham Phoenix,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
TG Southee,2023-2023,New Zealand,131.5,Medium,Birmingham Phoenix,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
AHT Donald,2024-2025,Birmingham Phoenix (Men),157.1,Offbreak,Birmingham Phoenix,1340.0,84,19.7,0.0,0.0,0,0.0,0.0,42.0,0.0,0.0
BJ Dwarshuis,2024-2024,Australia,143.3,Medium,Birmingham Phoenix,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
CP Wood,2024-2025,Hampshire,112.9,Medium,Birmingham Phoenix,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
DY Pennington,2024-2024,Birmingham Phoenix (Men),80.0,Medium,Birmingham Phoenix,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
JK Fuller,2024-2024,Fortune Barishal,140.2,Fast,Birmingham Phoenix,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
LPJ Kimber,2024-2025,Birmingham Phoenix (Men),158.7,,Birmingham Phoenix,539.0,59*,19.96,0.0,1.0,'1/23,97.0,0.0,20.0,0.0,-77.03
PR Brown,2024-2024,England,69.8,Medium,Birmingham Phoenix,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
RK Patel,2024-2024,Birmingham Phoenix (Men),136.1,Legbreak,Birmingham Phoenix,1234.0,104,23.28,2.0,0.0,0,0.0,0.0,17.0,0.0,0.0
SA Abbott,2024-2024,Australia,118.9,Medium,Birmingham Phoenix,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
TG Southee,2024-2025,New Zealand,131.5,Medium,Birmingham Phoenix,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
DY Pennington,2025-2025,Birmingham Phoenix (Men),80.0,Medium,Birmingham Phoenix,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
JL Smith,2025-2025,England,144.4,,Birmingham Phoenix,1382.0,87,23.42,0.0,0.0,0,0.0,0.0,48.0,10.0,0.0
MAH Hammond,2025-2025,Birmingham Phoenix (Men),133.7,Offbreak,Birmingham Phoenix,2193.0,80,22.37,0.0,0.0,0,0.0,0.0,58.0,0.0,0.0
AM Rossington,2021-2024,Durdanto Dhaka,146.5,,London Spirit,3506.0,95,20.99,0.0,0.0,0,0.0,0.0,82.0,33.0,0.0
BC Cullen,2021-2021,London Spirit (Men),111.6,Medium,London Spirit,96.0,20*,9.6,0.0,53.0,'4/32,23.13,0.0,8.0,0.0,-13.53
BTJ Wheal,2021-2022,Scotland,87.3,Medium,London Spirit,48.0,16,6.0,0.0,86.0,'5/38,22.72,1.0,15.0,0.0,-16.72
CP Wood,2021-2023,Hampshire,112.9,Medium,London Spirit,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
D Wiese,2021-2021,South Africa,141.5,Medium,London Spirit,4464.0,79*,23.01,0.0,324.0,'5/19,25.82,7.0,146.0,0.0,-2.81
DJ Bell-Drummond,2021-2021,Rajshahi Kings,137.4,Medium,London Spirit,4722.0,112*,30.86,2.0,5.0,'2/19,38.2,0.0,53.0,0.0,-7.33
DW Lawrence,2021-2024,Brisbane Heat,141.9,Offbreak,London Spirit,3154.0,93,24.64,0.0,57.0,'4/20,22.63,0.0,54.0,0.0,2.0
EJG Morgan,2021-2022,England,130.9,Medium,London Spirit,7780.0,91,26.02,0.0,0.0,0,0.0,0.0,160.0,0.0,0.0
JA Thompson,2021-2021,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
JB Cracknell,2021-2021,London Spirit (Men),133.0,,London Spirit,1148.0,77,22.5,0.0,0.0,0,0.0,0.0,25.0,0.0,0.0
JL Denly,2021-2021,England,127.4,Legbreak,London Spirit,6795.0,127,26.85,5.0,50.0,'4/19,25.98,0.0,108.0,0.0,0.87
JP Inglis,2021-2022,Australia,150.9,,London Spirit,3462.0,118*,30.1,4.0,0.0,0,0.0,0.0,102.0,20.0,0.0
JW Dernbach,2021-2021,England,99.1,Medium,London Spirit,194.0,24*,7.46,0.0,183.0,'4/22,26.66,0.0,41.0,0.0,-19.2
LA Dawson,2021-2021,England,121.4,Orthodox,London Spirit,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
LM Reece,2021-2021,Chittagong Vikings,130.6,Medium,London Spirit,2040.0,97*,21.93,0.0,33.0,'3/33,32.33,0.0,43.0,0.0,-10.39
MJJ Critchley,2021-2022,Melbourne Renegades,123.1,Legbreak,London Spirit,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
MS Crane,2021-2023,England,95.5,Legbreak,London Spirit,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
Mohammad Amir,2021-2021,Pakistan,103.4,Fast,London Spirit,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
Mohammad Nabi,2021-2021,Afghanistan,134.0,Offbreak,London Spirit,6193.0,89,20.99,0.0,376.0,'5/15,24.67,1.0,208.0,0.0,-3.67
RE van der Merwe,2021-2021,South Africa,134.9,Orthodox,London Spirit,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
RF Higgins,2021-2022,Welsh Fire (Men),132.9,Medium,London Spirit,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
RS Bopara,2021-2024,England,124.5,Medium,London Spirit,9486.0,108,27.65,2.0,291.0,'6/16,25.27,1.0,155.0,0.0,2.38
Z Crawley,2021-2023,Hobart Hurricanes,139.2,Offbreak,London Spirit,1859.0,108*,24.46,1.0,0.0,0,0.0,0.0,39.0,0.0,0.0
AD Russell,2022-2022,West Indies,167.6,Fast,London Spirit,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
BR McDermott,2022-2022,Australia,136.2,Medium,London Spirit,4571.0,127,30.67,3.0,0.0,0,0.0,0.0,103.0,13.0,0.0
D Wiese,2022-2023,South Africa,141.5,Medium,London Spirit,4464.0,79*,23.01,0.0,324.0,'5/19,25.82,7.0,146.0,0.0,-2.81
DJ Bell-Drummond,2022-2024,Rajshahi Kings,137.4,Medium,London Spirit,4722.0,112*,30.86,2.0,5.0,'2/19,38.2,0.0,53.0,0.0,-7.33
GJ Maxwell,2022-2022,Australia,154.9,Offbreak,London Spirit,10425.0,154*,27.8,7.0,178.0,'3/10,30.58,0.0,239.0,0.0,-2.78
JA Thompson,2022-2023,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
KA Pollard,2022-2022,West Indies,149.9,Medium,London Spirit,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
LA Dawson,2022-2025,England,121.4,Orthodox,London Spirit,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
MS Pepper,2022-2025,Abu Dhabi Knight Riders,150.1,,London Spirit,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
MS Wade,2022-2022,Australia,137.4,,London Spirit,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
NT Ellis,2022-2024,Australia,111.2,Medium,London Spirit,477.0,40,11.09,0.0,194.0,'4/6,23.55,0.0,57.0,0.0,-12.46
OJ Pope,2022-2022,Adelaide Strikers,131.5,,London Spirit,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
RE van der Merwe,2022-2022,South Africa,134.9,Orthodox,London Spirit,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
RJ Gleeson,2022-2023,England,70.8,Medium,London Spirit,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
DJ Mitchell,2023-2023,New Zealand,138.2,Medium,London Spirit,5178.0,88*,31.0,0.0,81.0,'4/32,24.75,0.0,122.0,0.0,6.25
DJ Worrall,2023-2025,Melbourne Stars,99.5,Medium,London Spirit,172.0,62*,12.28,0.0,98.0,'4/23,28.12,0.0,26.0,0.0,-15.83
MJJ Critchley,2023-2024,Melbourne Renegades,123.1,Legbreak,London Spirit,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
MS Pepper,2023-2024,Abu Dhabi Knight Riders,150.1,,London Spirit,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
MS Wade,2023-2023,Australia,137.4,,London Spirit,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
RE van der Merwe,2023-2023,South Africa,134.9,Orthodox,London Spirit,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
TG Southee,2023-2023,New Zealand,131.5,Medium,London Spirit,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
AD Russell,2024-2024,West Indies,167.6,Fast,London Spirit,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
CP Wood,2024-2025,Hampshire,112.9,Medium,London Spirit,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
JA Thompson,2024-2024,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
KA Pollard,2024-2024,West Indies,149.9,Medium,London Spirit,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
KK Jennings,2024-2025,Perth Scorchers,132.7,Medium,London Spirit,2040.0,108,31.87,1.0,22.0,'4/37,28.54,0.0,22.0,0.0,3.32
MS Crane,2024-2024,England,95.5,Legbreak,London Spirit,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
Mohammad Amir,2024-2024,Pakistan,103.4,Fast,London Spirit,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
OJ Pope,2024-2025,Adelaide Strikers,131.5,,London Spirit,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
OP Stone,2024-2025,England,89.2,Fast,London Spirit,170.0,22*,6.8,0.0,109.0,'4/14,26.65,0.0,33.0,0.0,-19.85
RF Higgins,2024-2025,Welsh Fire (Men),132.9,Medium,London Spirit,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
RJ Gleeson,2024-2025,England,70.8,Medium,London Spirit,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
SO Hetmyer,2024-2024,West Indies,142.4,Legbreak,London Spirit,5121.0,100,26.12,1.0,0.0,0,0.0,0.0,132.0,0.0,0.0
TG Southee,2024-2025,New Zealand,131.5,Medium,London Spirit,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
DW Lawrence,2025-2025,Brisbane Heat,141.9,Offbreak,London Spirit,3154.0,93,24.64,0.0,57.0,'4/20,22.63,0.0,54.0,0.0,2.0
JA Thompson,2025-2025,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
Mohammad Amir,2025-2025,Pakistan,103.4,Fast,London Spirit,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
Z Crawley,2025-2025,Hobart Hurricanes,139.2,Offbreak,London Spirit,1859.0,108*,24.46,1.0,0.0,0,0.0,0.0,39.0,0.0,0.0
BA Raine,2021-2022,Otago,131.0,Medium,Manchester Originals,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
C Munro,2021-2021,New Zealand,140.1,Medium,Manchester Originals,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
CG Harrison,2021-2023,Manchester Originals (Men),113.8,Legbreak,Manchester Originals,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
CN Ackermann,2021-2022,Netherlands,125.1,Offbreak,Manchester Originals,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
CR Brathwaite,2021-2021,West Indies,136.0,Medium,Manchester Originals,2385.0,64*,15.69,0.0,248.0,'4/14,25.75,0.0,108.0,0.0,-10.05
DA Douthwaite,2021-2021,Manchester Originals (Men),138.4,Medium,Manchester Originals,630.0,53,17.02,0.0,57.0,'4/23,26.73,0.0,13.0,0.0,-9.7
FJ Klaassen,2021-2022,Netherlands,98.8,Medium,Manchester Originals,85.0,13,5.66,0.0,115.0,'5/19,25.77,1.0,40.0,0.0,-20.1
JC Buttler,2021-2025,England,147.0,,Manchester Originals,12613.0,124,35.62,8.0,0.0,0,0.0,0.0,263.0,45.0,0.0
JM Clarke,2021-2021,Perth Scorchers,144.3,,Manchester Originals,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
LH Ferguson,2021-2021,New Zealand,116.2,Fast,Manchester Originals,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
LJ Evans,2021-2021,Perth Scorchers,138.3,Medium,Manchester Originals,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
