Team,Player Name,Country,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Islamabad United,Azam Khan,Pakistan,Wicketkeeper Batter,3486,109*,22.93,1,-,-,-,-,83,20,-,143.9
Islamabad United,Andries Gous,United States,Wicketkeeper Batter,2732,101*,30.69,1,-,-,-,-,57,11,-,137.4
Islamabad United,Haider Ali,Pakistan,Middle order Batter,3141,91*,23.61,0,-,-,-,-,49,0,-,131.6
Islamabad United,Colin Munro,New Zealand,Opening Batter,11639,120,30.23,6,31,15-Apr,33.38,0,135,0,-3.15,140.1
Islamabad United,Sahibzada Farhan,Pakistan,Middle order Batter,4093,162*,33.82,6,-,-,-,-,62,2,-,129.6
Islamabad United,Rassie van der Dussen,South Africa,Top order Batter,6773,112*,36.8,5,3,15-Feb,18.33,0,72,0,18.47,130.3
Islamabad United,Matthew Short,Australia,Top order Batter,3380,109,27.7,2,55,22-May,29.3,1,76,0,-1.6,146.8
Islamabad United,Shadab Khan,Pakistan,Allrounder,3402,91,18.59,0,345,28-May,23.83,1,122,0,-5.24,136.5
Islamabad United,Salman Agha,Pakistan,Allrounder,1849,68*,21.25,0,45,10-May,23.31,1,38,0,-2.05,0
Islamabad United,Jason Holder,West Indies,Bowling Allrounder,3061,69,18.55,0,329,27-May,27.43,1,155,0,-8.88,136.8
Islamabad United,Imad Wasim,Pakistan,Allrounder,4327,92*,21.52,0,377,14-May,24.59,2,110,0,-3.06,124.1
Islamabad United,Kyle Mayers,West Indies,Batting Allrounder,4207,92,23.24,0,70,4-Apr,32.75,0,64,0,-9.51,134.6
Islamabad United,Mohammad Nawaz,Pakistan,Allrounder,3621,72,21.68,0,239,19-May,27.32,2,132,0,-5.63,100
Islamabad United,Muhammad Shahzad,Afghanistan,Batting Allrounder,316,55,19.75,0,3,Jan-00,17,0,12,0,2.75,133.3
Islamabad United,James Neesham,New Zealand,Batting Allrounder,4483,97*,23.47,0,265,22-May,24.81,1,126,0,-1.34,140.9
Islamabad United,Saad Masood,Pakistan,Allrounder,179,63*,22.37,0,9,20-Feb,36.77,0,8,0,-14.4,141.7
Islamabad United,Ben Dwarshuis,Australia,Bowler,1134,66,20.61,0,218,21-May,23.13,2,37,0,-2.51,143.3
Islamabad United,Hunain Shah,Pakistan,Bowler,28,12,3.5,0,26,20-Mar,24.76,0,4,0,-21.26,64.3
Islamabad United,Riley Meredith,Australia,Bowler,48,10,4.8,0,189,9-Apr,22.31,0,26,0,-17.51,98.2
Islamabad United,Tymal Mills,England,Bowler,237,30,6.07,0,320,13-Apr,23.36,0,39,0,-17.29,105.9
Islamabad United,Naseem Shah,Pakistan,Bowler,253,27,7.22,0,132,20-May,29.34,1,21,0,-22.11,115.2
Islamabad United,Rumman Raees,Pakistan,Bowler,180,25*,9.47,0,131,25-Apr,24.61,0,41,0,-15.14,94.7
Islamabad United,Salman Irshad,Pakistan,Bowler,55,8*,4.58,0,96,27-Apr,27.55,0,9,0,-22.96,68.6
Islamabad United,Mohammad Faiq,Pakistan,,401,116*,100.25,2,2,30-Jan,44,0,3,0,56.25,0
Karachi Kings,David Warner,Australia,Opening Batter,13595,135*,36.44,8,0,-,-,0,202,0,-,139.9
Karachi Kings,Irfan Khan,Pakistan,Middle order Batter,853,57*,25.08,0,2,4-Jan,24.5,0,40,0,0.58,135.8
Karachi Kings,Ben McDermott,Australia,Wicketkeeper Batter,4941,127,29.94,3,-,-,-,-,106,15,-,136.2
Karachi Kings,Muhammad Riazullah,Pakistan,Batter,2910,,,,,6-Apr,,0,,,,66.7
Karachi Kings,George Munsey,Scotland,Opening Batter,2648,132,28.17,2,-,-,-,-,42,0,-,140.6
Karachi Kings,Omair Yousuf,Pakistan,Batter,1043,78*,30.67,0,-,-,-,-,20,0,-,125.6
Karachi Kings,Saad Baig,Pakistan,Wicketkeeper Batter,149,36*,21.28,0,-,-,-,-,5,1,-,122.8
Karachi Kings,Tim Seifert,New Zealand,Wicketkeeper Batter,6675,125*,28.52,4,-,-,-,-,181,37,-,135
Karachi Kings,Shan Masood,Pakistan,Opening Batter,4735,103*,26.01,1,-,-,-,-,84,0,-,130.2
Karachi Kings,James Vince,England,Batter,12655,129*,31.95,7,3,5-Jan,29,0,259,0,2.95,137.3
Karachi Kings,Litton Das,Bangladesh,Wicketkeeper Batter,5787,125*,24.83,1,-,-,-,-,147,38,-,0
Karachi Kings,Kane Williamson,New Zealand,Top order Batter,7275,101*,31.76,1,30,Mar-33,30.3,0,125,0,1.46,125.3
Karachi Kings,Aamer Jamal,Pakistan,Allrounder,525,87,19.44,0,43,23-May,33.62,1,21,0,-14.18,136.7
Karachi Kings,Khushdil Shah,Pakistan,Allrounder,3681,100,27.26,1,90,Apr-35,21.81,0,78,1,5.45,136.3
Karachi Kings,Mohammad Nabi,Afghanistan,Allrounder,6575,89,21.14,0,388,15-May,24.97,1,217,0,-3.83,134.1
Karachi Kings,Abbas Afridi,Pakistan,Bowler,393,34,11.9,0,124,May-47,19.98,1,21,0,-8.07,133.2
Karachi Kings,Arafat Minhas,Pakistan,Bowler,274,41,22.83,0,14,11-Feb,30,0,11,0,-7.16,102.9
Karachi Kings,Fawad Ali,Pakistan,Bowler,21,12,7,0,-,-,-,-,1,0,-,100
Karachi Kings,Hasan Ali,Pakistan,Bowler,777,45,11.59,0,318,23-Jun,20.66,3,55,0,-9.07,144
Karachi Kings,Adam Milne,New Zealand,Bowler,498,22,11.06,0,247,11-May,23.54,3,53,0,-12.47,112.8
Karachi Kings,Mir Hamza,Pakistan,Bowler,94,19*,18.8,0,75,9-Apr,27.92,0,13,0,-9.11,92.6
Karachi Kings,Zahid Mahmood,Pakistan,Bowler,184,20,11.5,0,98,16-May,21.39,1,6,0,-9.89,66.7
Lahore Qalandars,Abdullah Shafique,Pakistan,Top order Batter,2074,102*,30.05,1,-,-,-,-,26,0,-,140.5
Lahore Qalandars,Asif Ali,Pakistan,Middle order Batter,4737,100,22.03,1,4,27-Feb,13.25,0,120,0,8.78,141.9
Lahore Qalandars,Fakhar Zaman,Pakistan,Opening Batter,8108,115,28.44,3,4,3-Jan,40.5,0,135,0,-12.05,134.9
Lahore Qalandars,Mohammad Naeem,Pakistan,Batter,0,0*,0,0,6,31-May,26.33,1,0,0,-26.33,0
Lahore Qalandars,Muhammad Akhlaq,Pakistan,Wicketkeeper Batter,1037,62,20.33,0,-,-,-,-,30,9,-,134.2
Lahore Qalandars,Kusal Perera,Sri Lanka,Wicketkeeper Batter,5022,102*,26.71,2,-,-,-,-,64,27,-,137.4
Lahore Qalandars,Bhanuka Rajapaksa,Sri Lanka,Top order Batter,4176,100,22.81,1,28,11-Mar,18.42,0,62,1,4.39,137.2
Lahore Qalandars,Sam Billings,England,Wicketkeeper Batter,7238,106,24.04,1,-,-,-,-,237,32,-,134.3
Lahore Qalandars,Asif Afridi,Pakistan,Bowling Allrounder,513,54,14.65,0,78,26-May,23.2,1,20,0,-8.54,73
Lahore Qalandars,Tom Curran,England,Allrounder,2396,67*,21.58,0,255,15-Apr,25.52,0,66,0,-3.93,143.5
Lahore Qalandars,Jahandad Khan,Pakistan,Allrounder,249,45*,15.56,0,38,9-Mar,27.28,0,6,0,-11.72,150
Lahore Qalandars,Mehidy Hasan Miraz,Bangladesh,Allrounder,2176,87*,18.13,0,112,12-Apr,30.33,0,64,0,-12.19,121
Lahore Qalandars,Rishad Hossain,Bangladesh,Allrounder,370,53,10.88,0,99,22-Apr,22.04,0,49,0,-11.15,134.5
Lahore Qalandars,Shakib Al Hasan,Bangladesh,Allrounder,7690,89*,21.12,0,504,6-Jun,21.62,5,108,0,-0.5,126.2
Lahore Qalandars,Daryl Mitchell,New Zealand,Batting Allrounder,5382,88*,30.75,0,83,Apr-32,25.53,0,130,0,5.22,0
Lahore Qalandars,Sikandar Raza,Zimbabwe,Batting Allrounder,6372,133*,25.59,1,200,18-May,27.03,1,134,0,-1.43,136.1
Lahore Qalandars,David Wiese,Namibia,Allrounder,4519,79*,22.59,0,334,19-May,26.24,7,154,0,-3.65,141.5
Lahore Qalandars,Shaheen Shah Afridi,Pakistan,Bowler,868,55,13.35,0,326,19-Jun,20.88,5,62,0,-7.52,132.7
Lahore Qalandars,Haris Rauf,Pakistan,Bowler,402,34*,8.2,0,341,27-May,22.23,1,72,0,-14.03,108.8
Lahore Qalandars,Mohammad Azab,Pakistan,Bowler,11330,122,43.07,11,4,20-Feb,21.25,0,147,0,21.82,0
Lahore Qalandars,Momin Qamar,Pakistan,Bowler,,,,,,,,,,,,0
Lahore Qalandars,Salman Mirza,Pakistan,Bowler,41,16*,5.85,0,47,11-Apr,15.08,0,4,0,-9.22,88.9
Lahore Qalandars,Zaman Khan,Pakistan,Bowler,75,9*,7.5,0,132,16-Apr,24.53,0,23,0,-17.03,74
Multan Sultans,Mohammad Rizwan,Pakistan,Wicketkeeper Batter,8648,110*,43.24,3,1,22-Jan,22,0,190,50,21.24,126.4
Multan Sultans,Iftikhar Ahmed,Pakistan,Middle order Batter,6037,100*,29.73,1,85,5-Mar,29.85,0,144,0,-0.11,129.3
Multan Sultans,Muhammad Amir Barki,Pakistan,Batter,555,80,13.87,0,34,16-May,17,1,23,0,-3.12,92.3
Multan Sultans,Tayyab Tahir,Pakistan,Middle order Batter,1395,78,36.71,0,-,-,-,-,29,0,-,135.7
Multan Sultans,Usman Khan,United Arab Emirates,Wicketkeeper Batter,1944,123,30.85,5,-,-,-,-,31,5,-,139.6
Multan Sultans,Yasir Khan,Pakistan,Top order Batter,1152,107,26.18,2,-,-,-,-,13,0,-,141.7
Multan Sultans,Johnson Charles,West Indies,Wicketkeeper Batter,8101,119*,27.18,4,5,5-Jan,14.6,0,114,7,12.58,135.5
Multan Sultans,Shai Hope,West Indies,Wicketkeeper Batter,4951,106,30.37,3,-,-,-,-,89,15,-,129.2
Multan Sultans,Ashton Turner,Australia,Middle order Batter,3860,84*,24.9,0,35,20-Mar,25.62,0,96,0,-0.72,140.6
Multan Sultans,Kamran Ghulam,Pakistan,Allrounder,1834,110*,30.06,1,35,11-Apr,22.65,0,23,0,7.4,123.5
Multan Sultans,Shahid Aziz,Pakistan,Allrounder,189,29,11.81,0,32,20-Apr,22.31,0,10,0,-10.49,187.5
Multan Sultans,Michael Bracewell,New Zealand,Batting Allrounder,3438,141*,26.85,1,94,28-Apr,25.23,0,114,1,1.62,140
Multan Sultans,Curtis Campher,Ireland,Allrounder,1552,72*,21.26,0,74,16-May,27.04,1,53,0,-5.78,124.5
Multan Sultans,David Willey,England,Bowling Allrounder,4773,118,22.3,2,362,7-Apr,23.45,0,165,0,-1.14,135.9
Multan Sultans,Akif Javed,Pakistan,Bowler,84,32,10.5,0,88,28-Apr,24.02,0,16,0,-13.52,112.8
Multan Sultans,Faisal Akram,Pakistan,Bowler,21,7,5.25,0,12,25-Feb,46,0,8,0,-40.74,200
Multan Sultans,Peter Hatzoglou,Australia,Bowler,86,15,14.33,0,64,14-Mar,29.56,0,19,0,-15.22,104.9
Multan Sultans,Dilshan Madushanka,Sri Lanka,Bowler,29,12,3.22,0,56,12-Mar,30.94,0,11,0,-27.72,51.1
Multan Sultans,Mohammad Hasnain,Pakistan,Bowler,117,22,7.31,0,139,25-Apr,27.64,0,15,0,-20.32,83.6
Multan Sultans,Ubaid Shah,Pakistan,Bowler,44,17,7.33,0,20,27-Mar,31.2,0,3,0,-23.86,58.3
Multan Sultans,Usama Mir,Pakistan,Bowler,530,39,8.68,0,182,Jun-40,23.35,1,61,0,-14.66,129.4
Multan Sultans,Chris Jordan,England,Bowler,2476,73,16.84,0,439,6-Apr,27.05,0,214,0,-10.21,134.2
Multan Sultans,Josh Little,Ireland,Bowler,226,27*,13.29,0,167,13-May,23.77,1,49,0,-10.48,82.3
Multan Sultans,Gudakesh Motie,West Indies,Bowler,380,33*,12.66,0,118,21-May,22.33,1,33,0,-9.66,114.5
Peshawar Zalmi,Babar Azam,Pakistan,Batter,11330,122,43.07,11,4,20-Feb,21.25,0,147,0,21.82,128.7
Peshawar Zalmi,Abdul Samad,India,Top order Batter,1642,76*,26.06,0,4,9-Jan,54.75,0,53,0,-28.68,146.4
Peshawar Zalmi,Max Bryant,Australia,Batter,1566,81,23.02,0,-,-,-,-,30,0,-,139.8
Peshawar Zalmi,Tom Kohler-Cadmore,England,Wicketkeeper Batter,6524,127,28.36,1,-,-,-,-,129,5,-,141.3
Peshawar Zalmi,Mohammad Haris,Pakistan,Wicketkeeper Batter,3045,107*,22.72,1,-,-,-,-,115,13,-,149.4
Peshawar Zalmi,Najibullah Zadran,Afghanistan,Middle order Batter,4475,97*,26.47,0,2,5-Jan,11,0,90,0,15.47,133
Peshawar Zalmi,Saim Ayub,Pakistan,Top order Batter,2826,98*,24.78,0,34,Mar-35,25.97,0,52,0,-1.18,137.4
Peshawar Zalmi,Mitchell Owen,Australia,Middle order Batter,1109,108,25.2,2,26,17-May,26.84,1,25,0,-1.64,182.7
Peshawar Zalmi,Hussain Talat,Pakistan,Allrounder,3941,101*,30.31,1,82,14-Apr,25.08,0,41,0,5.23,121.2
Peshawar Zalmi,George Linde,South Africa,Allrounder,2417,66*,19.49,0,194,19-Apr,26.33,0,58,0,-6.84,139.5
Peshawar Zalmi,Maaz Sadaqat,Pakistan,Batting Allrounder,,,,,,,,,,,,166
Peshawar Zalmi,Corbin Bosch,South Africa,Allrounder,747,81,17.78,0,70,19-Apr,31.64,0,41,0,-13.85,111.4
Peshawar Zalmi,Ahmed Daniyal,Pakistan,Bowler,82,24,10.25,0,39,28-Apr,29.76,0,8,0,-19.51,110.6
Peshawar Zalmi,Ali Raza,Pakistan,Bowler,497,64,19.88,0,-,-,-,-,29,4,-,160.1
Peshawar Zalmi,Arif Yaqoob,Pakistan,Bowler,19,9*,9.5,0,42,27-May,15.35,1,4,0,-5.85,122.2
Peshawar Zalmi,Ihsanullah,Pakistan,Bowler,14,6*,4.66,0,42,12-May,20.04,1,1,0,-15.38,116
Peshawar Zalmi,Mehran Mumtaz,Pakistan,Bowler,107,51,9.72,0,27,20-Mar,27.7,0,10,0,-17.97,0
Peshawar Zalmi,Mohammad Ali,Pakistan,Bowler,36,11,12,0,62,24-May,18.04,1,13,0,-6.04,42.9
Peshawar Zalmi,Sufiyan Muqeem,Pakistan,Bowler,46,10,5.75,0,38,3-May,18.55,1,5,0,-12.8,82.4
Peshawar Zalmi,Luke Wood,England,Bowler,419,33*,9.52,0,210,May-50,25.83,1,68,0,-16.31,0
Peshawar Zalmi,Alzarri Joseph,West Indies,Bowler,484,29*,13.08,0,200,12-Jun,25.7,2,57,0,-12.62,107.1
Peshawar Zalmi,Nahid Rana,Bangladesh,Bowler,4,2*,1.33,0,18,27-Apr,38,0,10,0,-36.66,17.4
Quetta Gladiators,Saud Shakeel,Pakistan,Middle order Batter,1392,88*,25.3,0,13,26-Feb,26.92,0,26,0,-1.61,130.2
Quetta Gladiators,Finn Allen,New Zealand,Top order Batter,4415,151,28.85,4,0,-,-,0,73,2,-,173.1
Quetta Gladiators,Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter,5131,101*,29.83,1,-,-,-,-,104,32,-,121.4
Quetta Gladiators,Avishka Fernando,Sri Lanka,Opening Batter,3606,100,27.52,1,0,-,-,0,42,0,-,134.6
Quetta Gladiators,Hasan Nawaz,Pakistan,Top order Batter,1340,105*,27.91,2,0,-,-,0,31,0,-,160
Quetta Gladiators,Haseebullah Khan,Pakistan,Wicketkeeper Batter,599,72,19.96,0,-,-,-,-,26,2,-,136.6
Quetta Gladiators,Khawaja Nafay,Pakistan,Batter,688,68,23.72,0,-,-,-,-,16,0,-,132.5
Quetta Gladiators,Rilee Rossouw,South Africa,Top order Batter,9434,121,29.2,9,3,3-Jan,10.66,0,159,0,18.54,147.9
Quetta Gladiators,Kusal Mendis,Sri Lanka,Wicketkeeper Batter,5101,105*,29.83,2,0,-,-,0,84,23,-,135.4
Quetta Gladiators,Danish Aziz,Pakistan,Allrounder,1092,72*,26,0,39,16-Mar,26.51,0,21,0,-0.51,117.5
Quetta Gladiators,Faheem Ashraf,Pakistan,Bowling Allrounder,2237,55,17.61,0,236,19-Jun,26.07,3,85,0,-8.45,142.9
Quetta Gladiators,Gulbadin Naib,Afghanistan,Batting Allrounder,2517,91,22.88,0,101,12-Apr,27.16,0,67,0,-4.28,129.9
Quetta Gladiators,Shoaib Malik,Pakistan,Allrounder,13571,95*,35.99,0,187,13-May,27.7,2,238,0,8.29,125.2
Quetta Gladiators,Sean Abbott,Australia,Bowling Allrounder,954,110*,12.07,1,257,16-May,21.17,2,105,0,-9.1,119.5
Quetta Gladiators,Mark Chapman,New Zealand,Allrounder,3882,104*,25.88,2,22,22-Mar,29.63,0,76,0,-3.75,135.4
Quetta Gladiators,Abrar Ahmed,Pakistan,Bowler,43,12,3.58,0,86,9-Apr,21.61,0,17,0,-18.03,76.8
Quetta Gladiators,Ali Majid,Pakistan,Bowler,22,9*,-,0,22,27-Mar,24.81,0,9,0,-,112.5
Quetta Gladiators,Akeal Hosein,West Indies,Bowler,1093,55*,15.61,0,230,11-May,25.14,1,47,0,-9.53,110.6
Quetta Gladiators,Kyle Jamieson,New Zealand,Bowler,469,45*,21.31,0,103,7-Jun,24.97,1,22,0,-3.65,130.5
Quetta Gladiators,Khurram Shahzad,Pakistan,Bowler,57,17*,6.33,0,56,22-Apr,25.26,0,11,0,-18.93,56.8
Quetta Gladiators,Mohammad Amir,Pakistan,Bowler,458,30,7.15,0,409,17-Jun,22.4,2,43,0,-15.25,103.4
Quetta Gladiators,Mohammad Wasim,Pakistan,Bowler,353,34,12.17,0,117,24-Apr,26,0,51,0,-13.82,117.2
Quetta Gladiators,Mohammad Zeeshan,Pakistan,Bowler,0,0,0,0,1,Jan-38,134,0,0,0,-133.99,0
Quetta Gladiators,Usman Tariq,Pakistan,Bowler,27,7*,13.5,0,54,17-Apr,18.07,0,5,0,-4.57,84.6
